VulnerabilityID,PkgName,InstalledVersion,SeveritySource,PrimaryURL,Title,Description,Severity,CweIDs,References,PublishedDate,LastModifiedDate,Layer.DiffID,DataSource.ID,DataSource.Name,DataSource.URL,CVSS.nvd.V2Vector,CVSS.nvd.V3Vector,CVSS.nvd.V2Score,CVSS.nvd.V3Score,CVSS.redhat.V3Vector,CVSS.redhat.V3Score,CVSS.redhat.V2Vector,CVSS.redhat.V2Score,VendorIDs,FixedVersion
CVE-2018-20796,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2018-20796,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",LOW,['CWE-674'],"['http://www.securityfocus.com/bid/107160', 'https://access.redhat.com/security/cve/CVE-2018-20796', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34141', 'https://lists.gnu.org/archive/html/bug-gnulib/2019-01/msg00108.html', 'https://nvd.nist.gov/vuln/detail/CVE-2018-20796', 'https://security.netapp.com/advisory/ntap-20190315-0002/', 'https://support.f5.com/csp/article/K26346590?utm_source=f5support&amp;utm_medium=RSS']",2019-02-26T02:29:00Z,2019-11-05T21:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,5.0,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,,,,
CVE-2019-1010022,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-1010022,glibc: stack guard protection bypass,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerability and use this bypass vulnerability to bypass stack guard. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.""",LOW,['CWE-119'],"['https://access.redhat.com/security/cve/CVE-2019-1010022', 'https://security-tracker.debian.org/tracker/CVE-2019-1010022', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22850', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22850#c3', 'https://ubuntu.com/security/CVE-2019-1010022']",2019-07-15T04:15:00Z,2021-06-10T17:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5,9.8,,,,,,
CVE-2019-1010023,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-1010023,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,"** DISPUTED ** GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privileges. The component is: libld. The attack vector is: Attacker sends 2 ELF files to victim and asks to run ldd on it. ldd execute code. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.""",LOW,,"['http://www.securityfocus.com/bid/109167', 'https://access.redhat.com/security/cve/CVE-2019-1010023', 'https://security-tracker.debian.org/tracker/CVE-2019-1010023', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22851', 'https://support.f5.com/csp/article/K11932200?utm_source=f5support&amp;utm_medium=RSS', 'https://ubuntu.com/security/CVE-2019-1010023']",2019-07-15T04:15:00Z,2020-11-16T20:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8,8.8,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,,,,
CVE-2019-1010024,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-1010024,glibc: ASLR bypass using cache of thread stack and heap,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using cache of thread stack and heap. The component is: glibc. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.""",LOW,['CWE-200'],"['http://www.securityfocus.com/bid/109162', 'https://access.redhat.com/security/cve/CVE-2019-1010024', 'https://security-tracker.debian.org/tracker/CVE-2019-1010024', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22852', 'https://support.f5.com/csp/article/K06046097', 'https://support.f5.com/csp/article/K06046097?utm_source=f5support&amp;utm_medium=RSS', 'https://ubuntu.com/security/CVE-2019-1010024']",2019-07-15T04:15:00Z,2020-11-16T20:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:P/I:N/A:N,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.0,5.3,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.3,,,,
CVE-2019-1010025,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-1010025,glibc: information disclosure of heap addresses of pthread_created thread,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addresses of pthread_created thread. The component is: glibc. NOTE: the vendor's position is ""ASLR bypass itself is not a vulnerability.""",LOW,['CWE-330'],"['https://access.redhat.com/security/cve/CVE-2019-1010025', 'https://security-tracker.debian.org/tracker/CVE-2019-1010025', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22853', 'https://support.f5.com/csp/article/K06046097', 'https://support.f5.com/csp/article/K06046097?utm_source=f5support&amp;utm_medium=RSS', 'https://ubuntu.com/security/CVE-2019-1010025']",2019-07-15T04:15:00Z,2020-11-16T20:15:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:P/I:N/A:N,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.0,5.3,CVSS:3.0/AV:L/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.9,,,,
CVE-2019-9192,libc-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-9192,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"** DISPUTED ** In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern.",LOW,['CWE-674'],"['https://access.redhat.com/security/cve/CVE-2019-9192', 'https://nvd.nist.gov/vuln/detail/CVE-2019-9192', 'https://sourceware.org/bugzilla/show_bug.cgi?id=24269', 'https://support.f5.com/csp/article/K26346590?utm_source=f5support&amp;utm_medium=RSS']",2019-02-26T18:29:00Z,2020-08-24T17:37:00Z,sha256:08249ce7456a1c0613eafe868aed936a284ed9f1d6144f7d2d08c514974a2af9,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,5.0,7.5,CVSS:3.0/AV:L/AC:L/PR:L/UI:R/S:U/C:N/I:N/A:L,2.8,,,,
CVE-2021-3999,libc-dev-bin,2.31-13+deb11u3,,https://avd.aquasec.com/nvd/cve-2021-3999,glibc: Off-by-one buffer overflow/underflow in getcwd(),A flaw was found in glibc. An off-by-one buffer overflow and underflow in getcwd() may lead to memory corruption when the size of the buffer is exactly 1. A local attacker who can control the input buffer and size passed to getcwd() in a setuid program could use this flaw to potentially execute arbitrary code and escalate their privileges on the system.,HIGH,,"['https://access.redhat.com/hydra/rest/securitydata/cve/CVE-2021-3999.json', 'https://access.redhat.com/security/cve/CVE-2021-3999', 'https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-3999', 'https://linux.oracle.com/cve/CVE-2021-3999.html', 'https://linux.oracle.com/errata/ELSA-2022-9234.html', 'https://ubuntu.com/security/notices/USN-5310-1', 'https://ubuntu.com/security/notices/USN-5310-2', 'https://www.openwall.com/lists/oss-security/2022/01/24/4']",,,sha256:80089f9cc4cdde32ff632c4a1f1f602c9679d6b4fda522a38b432055009ea3c1,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,,,,,CVSS:3.1/AV:L/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,7.4,,,,
CVE-2010-4756,libc-dev-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2010-4756,glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions,"The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in STAT commands to an FTP daemon, a different vulnerability than CVE-2010-2632.",LOW,['CWE-399'],"['http://cxib.net/stuff/glob-0day.c', 'http://securityreason.com/achievement_securityalert/89', 'http://securityreason.com/exploitalert/9223', 'https://access.redhat.com/security/cve/CVE-2010-4756', 'https://bugzilla.redhat.com/show_bug.cgi?id=681681', 'https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2010-4756', 'https://nvd.nist.gov/vuln/detail/CVE-2010-4756']",2011-03-02T20:00:00Z,2021-09-01T12:15:00Z,sha256:80089f9cc4cdde32ff632c4a1f1f602c9679d6b4fda522a38b432055009ea3c1,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:S/C:N/I:N/A:P,,4.0,,,,AV:N/AC:L/Au:N/C:N/I:N/A:P,5.0,,
CVE-2018-20796,libc-dev-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2018-20796,glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",LOW,['CWE-674'],"['http://www.securityfocus.com/bid/107160', 'https://access.redhat.com/security/cve/CVE-2018-20796', 'https://debbugs.gnu.org/cgi/bugreport.cgi?bug=34141', 'https://lists.gnu.org/archive/html/bug-gnulib/2019-01/msg00108.html', 'https://nvd.nist.gov/vuln/detail/CVE-2018-20796', 'https://security.netapp.com/advisory/ntap-20190315-0002/', 'https://support.f5.com/csp/article/K26346590?utm_source=f5support&amp;utm_medium=RSS']",2019-02-26T02:29:00Z,2019-11-05T21:15:00Z,sha256:80089f9cc4cdde32ff632c4a1f1f602c9679d6b4fda522a38b432055009ea3c1,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:N/I:N/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,5.0,7.5,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,5.3,,,,
CVE-2019-1010022,libc-dev-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-1010022,glibc: stack guard protection bypass,"** DISPUTED ** GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerability and use this bypass vulnerability to bypass stack guard. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.""",LOW,['CWE-119'],"['https://access.redhat.com/security/cve/CVE-2019-1010022', 'https://security-tracker.debian.org/tracker/CVE-2019-1010022', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22850', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22850#c3', 'https://ubuntu.com/security/CVE-2019-1010022']",2019-07-15T04:15:00Z,2021-06-10T17:15:00Z,sha256:80089f9cc4cdde32ff632c4a1f1f602c9679d6b4fda522a38b432055009ea3c1,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:L/Au:N/C:P/I:P/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5,9.8,,,,,,
CVE-2019-1010023,libc-dev-bin,2.31-13+deb11u3,debian,https://avd.aquasec.com/nvd/cve-2019-1010023,glibc: running ldd on malicious ELF leads to code execution because of wrong size computation,"** DISPUTED ** GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privileges. The component is: libld. The attack vector is: Attacker sends 2 ELF files to victim and asks to run ldd on it. ldd execute code. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.""",LOW,,"['http://www.securityfocus.com/bid/109167', 'https://access.redhat.com/security/cve/CVE-2019-1010023', 'https://security-tracker.debian.org/tracker/CVE-2019-1010023', 'https://sourceware.org/bugzilla/show_bug.cgi?id=22851', 'https://support.f5.com/csp/article/K11932200?utm_source=f5support&amp;utm_medium=RSS', 'https://ubuntu.com/security/CVE-2019-1010023']",2019-07-15T04:15:00Z,2020-11-16T20:15:00Z,sha256:80089f9cc4cdde32ff632c4a1f1f602c9679d6b4fda522a38b432055009ea3c1,debian,Debian Security Tracker,https://salsa.debian.org/security-tracker-team/security-tracker,AV:N/AC:M/Au:N/C:P/I:P/A:P,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8,8.8,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,7.8,,,,
